iter	Passed	Remaining
476	628	689
477	629	687
478	630	685
479	631	684
480	632	682
481	633	680
482	633	678
483	634	676
484	635	675
485	636	673
486	637	671
487	638	669
488	639	667
489	640	666
490	641	664
491	642	663
492	642	661
493	643	659
494	644	657
495	645	655
496	646	654
497	647	652
498	648	650
499	648	648
500	649	647
501	650	645
502	651	643
503	652	642
504	653	640
505	654	638
506	655	637
507	656	635
508	657	633
509	657	632
510	658	630
511	659	628
512	661	627
513	661	625
514	662	624
515	663	622
516	664	620
517	665	619
518	666	617
519	666	615
520	667	613
521	668	612
522	669	610
523	670	609
524	671	607
525	672	605
526	673	604
527	674	602
528	674	600
529	675	599
530	676	597
531	677	595
532	678	594
533	679	592
534	679	590
535	680	589
536	681	587
537	682	586
538	683	584
539	684	583
540	685	581
541	686	580
542	687	578
543	688	576
544	689	575
545	689	573
546	690	572
547	691	570
548	692	568
549	693	567
550	694	565
551	694	564
552	695	562
553	696	561
554	697	559
555	699	558
556	699	556
557	700	555
558	701	553
559	702	551
560	703	550
561	704	548
562	704	547
563	705	545
564	706	543
565	707	542
566	708	540
567	708	539
568	709	537
569	710	536
570	711	534
571	712	533
572	713	531
573	714	530
574	715	528
575	716	527
576	717	525
577	717	524
578	718	522
579	719	521
580	720	519
581	721	517
582	722	516
583	722	514
584	723	513
585	724	511
586	725	510
587	726	508
588	727	507
589	728	506
590	729	504
591	730	503
592	731	501
593	731	500
594	732	498
595	733	497
596	734	495
597	735	494
598	735	492
599	736	491
600	737	489
601	738	488
602	739	486
603	740	485
604	741	483
605	742	482
606	743	481
607	744	479
608	744	478
609	745	476
610	746	475
611	747	473
612	748	472
613	749	471
614	750	469
615	751	468
616	752	466
617	752	465
618	753	463
619	754	462
620	755	461
621	756	460
622	757	458
623	758	457
624	759	455
625	760	454
626	761	452
627	762	451
628	762	449
629	763	448
630	764	447
631	765	445
632	766	444
633	767	442
634	767	441
635	768	439
636	769	438
637	770	437
638	771	435
639	772	434
640	773	433
641	773	431
642	774	430
643	775	428
644	776	427
645	777	425
646	777	424
647	778	423
648	779	421
649	780	420
650	781	418
651	782	417
652	783	416
653	783	414
654	785	413
655	786	412
656	786	410
657	787	409
658	788	408
659	789	406
660	790	405
661	791	403
662	792	402
663	793	401
664	793	399
665	794	398
666	795	397
667	796	395
668	797	394
669	797	393
670	798	391
671	799	390
672	801	389
673	801	387
674	802	386
675	803	385
676	804	383
677	805	382
678	806	381
679	807	379
680	808	378
681	808	377
682	809	375
683	810	374
684	811	373
685	812	371
686	813	370
687	814	369
688	815	367
689	815	366
690	816	365
691	817	363
692	818	362
693	819	361
694	820	360
695	821	358
696	822	357
697	823	356
698	823	354
699	824	353
700	825	352
701	826	350
702	827	349
703	828	348
704	829	347
705	830	345
706	831	344
707	832	343
708	833	341
709	834	340
710	834	339
711	835	338
712	836	336
713	837	335
714	838	334
715	838	332
716	839	331
717	840	330
718	841	328
719	842	327
720	843	326
721	844	325
722	845	323
723	846	322
724	847	321
725	848	320
726	848	318
727	849	317
728	850	316
729	851	314
730	852	313
731	853	312
732	854	311
733	854	309
734	855	308
735	856	307
736	857	306
737	858	304
738	859	303
739	860	302
740	861	300
741	861	299
742	862	298
743	863	297
744	864	295
745	865	294
746	866	293
747	866	292
748	867	290
749	868	289
750	869	288
751	870	287
752	871	285
753	872	284
754	873	283
755	874	282
756	874	280
757	875	279
758	876	278
759	877	277
760	879	276
761	879	274
762	880	273
763	881	272
764	882	271
765	883	269
766	884	268
767	885	267
768	886	266
769	887	265
770	888	263
771	889	262
772	890	261
773	890	260
774	891	258
775	892	257
776	893	256
777	894	255
778	895	254
779	896	252
780	897	251
781	898	250
782	899	249
783	899	247
784	901	246
785	902	245
786	903	244
787	904	243
788	904	241
789	905	240
790	906	239
791	907	238
792	908	237
793	908	235
794	909	234
795	910	233
796	911	232
797	912	230
798	913	229
799	914	228
800	914	227
801	916	226
802	917	225
803	918	223
804	919	222
805	919	221
806	920	220
807	921	219
808	922	217
809	923	216
810	924	215
811	924	214
812	925	212
813	926	211
814	927	210
815	928	209
816	929	208
817	930	207
818	932	205
819	933	204
820	933	203
821	934	202
822	935	201
823	936	200
824	937	198
825	938	197
826	939	196
827	939	195
828	940	194
829	941	192
830	942	191
831	943	190
832	944	189
833	945	188
834	946	186
835	947	185
836	947	184
837	948	183
838	949	182
839	950	181
840	951	179
841	952	178
842	953	177
843	954	176
844	954	175
845	955	173
846	956	172
847	957	171
848	958	170
849	959	169
850	960	168
851	961	167
852	962	165
853	963	164
854	964	163
855	965	162
856	966	161
857	966	160
858	967	158
859	968	157
860	969	156
861	970	155
862	971	154
863	971	152
864	972	151
865	973	150
866	974	149
867	975	148
868	976	147
869	977	146
870	977	144
871	978	143
872	979	142
873	980	141
874	981	140
875	981	138
876	983	137
877	984	136
878	985	135
879	986	134
880	986	133
881	988	132
882	989	131
883	990	129
884	991	128
885	991	127
886	992	126
887	993	125
888	994	124
889	996	123
890	997	121
891	998	120
892	998	119
893	999	118
894	1000	117
895	1001	116
896	1003	115
897	1004	114
898	1005	112
899	1006	111
900	1006	110
901	1007	109
902	1008	108
903	1009	107
904	1010	106
905	1011	104
906	1012	103
907	1013	102
908	1014	101
909	1015	100
910	1016	99
911	1017	98
912	1018	97
913	1019	95
914	1019	94
915	1020	93
916	1021	92
917	1023	91
918	1023	90
919	1024	89
920	1025	87
921	1026	86
922	1027	85
923	1028	84
924	1029	83
925	1030	82
926	1031	81
927	1032	80
928	1033	79
929	1034	77
930	1035	76
931	1036	75
932	1037	74
933	1038	73
934	1038	72
935	1039	71
936	1040	69
937	1041	68
938	1042	67
939	1043	66
940	1044	65
941	1045	64
942	1047	63
943	1048	62
944	1049	61
945	1050	59
946	1051	58
947	1052	57
948	1053	56
949	1054	55
950	1054	54
951	1055	53
952	1056	52
953	1057	50
954	1058	49
955	1059	48
956	1060	47
957	1061	46
958	1062	45
959	1063	44
960	1064	43
961	1065	42
962	1066	40
963	1066	39
964	1067	38
965	1068	37
966	1069	36
967	1070	35
968	1070	34
969	1071	33
970	1072	32
971	1073	30
972	1074	29
973	1074	28
974	1076	27
975	1077	26
976	1078	25
977	1079	24
978	1080	23
979	1081	22
980	1082	20
981	1082	19
982	1083	18
983	1084	17
984	1085	16
985	1086	15
986	1087	14
987	1088	13
988	1088	12
989	1089	11
990	1091	9
991	1092	8
992	1092	7
993	1093	6
994	1094	5
995	1096	4
996	1097	3
997	1097	2
998	1098	1
999	1099	0
